Date	Ping ms	Up MBit	Down MBit
Fri 7 Oct 02:10:44 CEST 2016 	28.043	54.40	7.09
Fri 7 Oct 02:26:19 CEST 2016 	29.964	54.56	7.01
Fri 7 Oct 02:41:53 CEST 2016 	30.198	54.34	6.99
Fri 7 Oct 02:57:28 CEST 2016 	31.088	54.27	6.14
Fri 7 Oct 03:13:04 CEST 2016 	31.109	54.22	7.03
Fri 7 Oct 03:28:39 CEST 2016 	31.526	53.78	7.02
Fri 7 Oct 03:44:14 CEST 2016 	29.426	54.52	6.99
Fri 7 Oct 03:59:49 CEST 2016 	32.425	54.35	7.06
Fri 7 Oct 04:15:24 CEST 2016 	30.632	54.38	7.12
Fri 7 Oct 04:30:59 CEST 2016 	30.243	54.36	6.97
Fri 7 Oct 04:46:34 CEST 2016 	32.686	54.44	7.04
Fri 7 Oct 05:02:09 CEST 2016 	27.89	54.11	7.04
Fri 7 Oct 05:17:43 CEST 2016 	31.063	53.83	7.12
Fri 7 Oct 05:33:18 CEST 2016 	30.082	54.53	7.06
Fri 7 Oct 05:48:53 CEST 2016 	30.573	52.00	3.18
Fri 7 Oct 06:04:29 CEST 2016 	31.642	51.72	4.24
Fri 7 Oct 06:20:05 CEST 2016 	29.477	54.65	4.02
Fri 7 Oct 06:35:42 CEST 2016 	31.522	54.35	4.70
Fri 7 Oct 06:51:22 CEST 2016 	30.477	54.35	5.73
Fri 7 Oct 07:06:59 CEST 2016 	29.122	54.38	3.59
Fri 7 Oct 07:22:36 CEST 2016 	0	0	0
Fri 7 Oct 07:37:41 CEST 2016 	29.083	43.20	0.45
Fri 7 Oct 07:53:57 CEST 2016 	0	0	0
Fri 7 Oct 08:09:38 CEST 2016	0	0	0	
Fri 7 Oct 08:24:59 CEST 2016 	32.304	54.12	7.07
Fri 7 Oct 08:40:34 CEST 2016 	30.232	54.34	7.09
Fri 7 Oct 08:56:10 CEST 2016 	31.552	54.43	6.99
Fri 7 Oct 09:11:45 CEST 2016 	30.6	54.04	7.00
Fri 7 Oct 09:27:19 CEST 2016 	33.012	54.41	7.12
Fri 7 Oct 09:42:55 CEST 2016 	30.207	54.20	7.05
Fri 7 Oct 09:58:30 CEST 2016 	29.407	54.60	7.08
Fri 7 Oct 10:14:05 CEST 2016 	28.866	54.18	6.94
Fri 7 Oct 10:30:09 CEST 2016 	33.353	54.32	7.10
Fri 7 Oct 10:45:44 CEST 2016 	32.201	54.38	7.11
Fri 7 Oct 11:01:19 CEST 2016 	32.772	54.19	7.13
Fri 7 Oct 11:16:54 CEST 2016 	30.363	53.80	7.04
Fri 7 Oct 11:32:29 CEST 2016 	31.762	54.63	7.15
Fri 7 Oct 11:48:04 CEST 2016 	29.425	54.28	7.03
Fri 7 Oct 12:03:40 CEST 2016 	30.768	50.69	7.04
Fri 7 Oct 12:19:16 CEST 2016 	29.922	54.55	7.07
Fri 7 Oct 12:34:51 CEST 2016 	31.216	53.64	7.20
Fri 7 Oct 12:50:27 CEST 2016 	30.386	54.05	7.14
Fri 7 Oct 13:06:03 CEST 2016 	33.707	54.23	7.08
Fri 7 Oct 13:21:38 CEST 2016 	30.232	53.87	7.16
Fri 7 Oct 13:37:15 CEST 2016 	31.367	53.68	7.11
Fri 7 Oct 13:52:50 CEST 2016 	29.087	53.94	7.10
Fri 7 Oct 14:08:25 CEST 2016 	29.962	54.16	6.99
Fri 7 Oct 14:24:00 CEST 2016 	42.623	37.63	4.06
Fri 7 Oct 14:39:38 CEST 2016 	56.763	36.04	5.57
Fri 7 Oct 14:55:26 CEST 2016 	33.311	43.26	5.96
Fri 7 Oct 15:11:07 CEST 2016 	30.989	54.31	6.50
Fri 7 Oct 15:26:44 CEST 2016 	27.14	53.86	6.80
Fri 7 Oct 15:42:19 CEST 2016 	33.251	54.35	6.93
Fri 7 Oct 15:57:54 CEST 2016 	31.996	54.14	6.92
Fri 7 Oct 16:13:29 CEST 2016 	30.517	53.73	6.81
Fri 7 Oct 16:29:05 CEST 2016 	31.583	52.73	7.07
Fri 7 Oct 16:44:41 CEST 2016 	28.156	54.61	7.02
Fri 7 Oct 17:00:16 CEST 2016 	31.372	54.37	6.96
Fri 7 Oct 17:15:50 CEST 2016 	29.7	53.30	6.93
Fri 7 Oct 17:31:25 CEST 2016 	29.749	53.88	7.12
Fri 7 Oct 17:47:01 CEST 2016 	32.533	54.15	7.14
Fri 7 Oct 18:02:37 CEST 2016 	28.732	54.22	6.79
Fri 7 Oct 18:18:12 CEST 2016 	28.546	53.84	6.80
